,PhraseID,Note,TimeStamp,PieceID
34,PHRASE000561,END,21/05/23 12:13:22,PIECE00091
35,PHRASE000562,G3,21/05/23 12:13:22,PIECE00092
36,PHRASE000562,C4,21/05/23 12:13:22,PIECE00092
37,PHRASE000562,E4,21/05/23 12:13:22,PIECE00092
38,PHRASE000562,C4,21/05/23 12:13:32,PIECE00092
39,PHRASE000562,B3,21/05/23 12:13:32,PIECE00092
40,PHRASE000562,C4,21/05/23 12:13:32,PIECE00092
41,PHRASE000562,D4,21/05/23 12:13:32,PIECE00092
42,PHRASE000562,E4,21/05/23 12:13:32,PIECE00092
43,PHRASE000562,C4,21/05/23 12:13:42,PIECE00092
44,PHRASE000562,rest,21/05/23 12:13:42,PIECE00092
45,PHRASE000562,END,21/05/23 12:13:22,PIECE00092
46,PHRASE000563,C4,21/05/23 12:13:22,PIECE00092
47,PHRASE000563,E4,21/05/23 12:13:22,PIECE00092
48,PHRASE000563,G4,21/05/23 12:13:22,PIECE00092
49,PHRASE000563,G4,21/05/23 12:13:22,PIECE00092
50,PHRASE000563,F4,21/05/23 12:13:22,PIECE00092
51,PHRASE000563,E4,21/05/23 12:13:22,PIECE00092
52,PHRASE000563,D4,21/05/23 12:13:22,PIECE00092
53,PHRASE000563,C4,21/05/23 12:13:32,PIECE00092
54,PHRASE000563,D4,21/05/23 12:13:42,PIECE00092
55,PHRASE000563,rest,21/05/23 12:13:42,PIECE00092
56,PHRASE000563,END,21/05/23 12:13:22,PIECE00092
57,PHRASE000564,C4,21/05/23 12:13:22,PIECE00092
58,PHRASE000564,E4,21/05/23 12:13:22,PIECE00092
59,PHRASE000564,C4,21/05/23 12:13:22,PIECE00092
60,PHRASE000564,G4,21/05/23 12:13:22,PIECE00092
61,PHRASE000564,A4,21/05/23 12:13:22,PIECE00092
62,PHRASE000564,G4,21/05/23 12:13:22,PIECE00092
63,PHRASE000564,E4,21/05/23 12:13:22,PIECE00092
64,PHRASE000564,D4,21/05/23 12:13:22,PIECE00092
65,PHRASE000564,C4,21/05/23 12:13:22,PIECE00092
66,PHRASE000564,F4,21/05/23 12:13:32,PIECE00092
67,PHRASE000564,rest,21/05/23 12:13:32,PIECE00092
68,PHRASE000564,END,21/05/23 12:13:22,PIECE00092
69,PHRASE000565,E4,21/05/23 12:13:22,PIECE00092
70,PHRASE000565,D4,21/05/23 12:13:22,PIECE00092
71,PHRASE000565,C4,21/05/23 12:13:22,PIECE00092
72,PHRASE000565,G4,21/05/23 12:13:22,PIECE00092
73,PHRASE000565,A4,21/05/23 12:13:22,PIECE00092
74,PHRASE000565,G4,21/05/23 12:13:22,PIECE00092
75,PHRASE000565,E4,21/05/23 12:13:22,PIECE00092
76,PHRASE000565,D4,21/05/23 12:13:22,PIECE00092
77,PHRASE000565,C4,21/05/23 12:13:22,PIECE00092
78,PHRASE000565,F4,21/05/23 12:13:32,PIECE00092
79,PHRASE000565,rest,21/05/23 12:13:32,PIECE00092
80,PHRASE000565,END,21/05/23 12:13:22,PIECE00092
81,PHRASE000566,E4,21/05/23 12:13:22,PIECE00092
82,PHRASE000566,D4,21/05/23 12:13:22,PIECE00092
83,PHRASE000566,C4,21/05/23 12:13:22,PIECE00092
84,PHRASE000566,F4,21/05/23 12:13:32,PIECE00092
85,PHRASE000566,E4,21/05/23 12:13:42,PIECE00092
86,PHRASE000566,D4,21/05/23 12:13:52,PIECE00092
87,PHRASE000566,C4,21/05/23 12:14:02,PIECE00092
88,PHRASE000566,rest,21/05/23 12:14:02,PIECE00092
89,PHRASE000566,END,21/05/23 12:13:22,PIECE00092
90,PHRASE000567,G3,21/05/23 12:13:22,PIECE00093
91,PHRASE000567,E4,21/05/23 12:13:22,PIECE00093
92,PHRASE000567,E4,21/05/23 12:13:22,PIECE00093
93,PHRASE000567,D4,21/05/23 12:13:22,PIECE00093
94,PHRASE000567,C4,21/05/23 12:13:22,PIECE00093
95,PHRASE000567,F4,21/05/23 12:13:22,PIECE00093
96,PHRASE000567,F4,21/05/23 12:13:22,PIECE00093
97,PHRASE000567,B3,21/05/23 12:13:22,PIECE00093
98,PHRASE000567,END,21/05/23 12:13:22,PIECE00093
99,PHRASE000568,B3,21/05/23 12:13:22,PIECE00093
100,PHRASE000568,F4,21/05/23 12:13:22,PIECE00093
101,PHRASE000568,F4,21/05/23 12:13:22,PIECE00093
102,PHRASE000568,E4,21/05/23 12:13:22,PIECE00093
103,PHRASE000568,D4,21/05/23 12:13:22,PIECE00093
104,PHRASE000568,G4,21/05/23 12:13:32,PIECE00093
105,PHRASE000568,rest,21/05/23 12:13:32,PIECE00093
106,PHRASE000568,END,21/05/23 12:13:22,PIECE00093
107,PHRASE000569,E4,21/05/23 12:13:22,PIECE00093
108,PHRASE000569,G4,21/05/23 12:13:22,PIECE00093
109,PHRASE000569,G4,21/05/23 12:13:22,PIECE00093
110,PHRASE000569,F4,21/05/23 12:13:22,PIECE00093
111,PHRASE000569,E4,21/05/23 12:13:22,PIECE00093
112,PHRASE000569,A4,21/05/23 12:13:22,PIECE00093
113,PHRASE000569,A4,21/05/23 12:13:22,PIECE00093
114,PHRASE000569,B3,21/05/23 12:13:22,PIECE00093
115,PHRASE000569,END,21/05/23 12:13:22,PIECE00093
116,PHRASE000570,A3,21/05/23 12:13:22,PIECE00093
117,PHRASE000570,G3,21/05/23 12:13:22,PIECE00093
118,PHRASE000570,F4,21/05/23 12:13:22,PIECE00093
119,PHRASE000570,E4,21/05/23 12:13:22,PIECE00093
120,PHRASE000570,D4,21/05/23 12:13:22,PIECE00093
121,PHRASE000570,C4,21/05/23 12:13:32,PIECE00093
122,PHRASE000570,rest,21/05/23 12:13:32,PIECE00093
123,PHRASE000570,END,21/05/23 12:13:22,PIECE00093
124,PHRASE000571,G4,21/05/23 12:13:22,PIECE00093
125,PHRASE000571,E4,21/05/23 12:13:22,PIECE00093
126,PHRASE000571,G4,21/05/23 12:13:22,PIECE00093
127,PHRASE000571,C5,21/05/23 12:13:22,PIECE00093
128,PHRASE000571,G4,21/05/23 12:13:22,PIECE00093
129,PHRASE000571,B4,21/05/23 12:13:22,PIECE00093
130,PHRASE000571,A4,21/05/23 12:13:22,PIECE00093
131,PHRASE000571,A4,21/05/23 12:13:22,PIECE00093
132,PHRASE000571,END,21/05/23 12:13:22,PIECE00093
133,PHRASE000572,A4,21/05/23 12:13:22,PIECE00093
134,PHRASE000572,G4,21/05/23 12:13:22,PIECE00093
135,PHRASE000572,G3,21/05/23 12:13:22,PIECE00093
136,PHRASE000572,E4,21/05/23 12:13:22,PIECE00093
137,PHRASE000572,D4,21/05/23 12:13:22,PIECE00093
138,PHRASE000572,C4,21/05/23 12:13:32,PIECE00093
139,PHRASE000572,rest,21/05/23 12:13:32,PIECE00093
140,PHRASE000572,END,21/05/23 12:13:22,PIECE00093
141,PHRASE000573,G3,21/05/23 12:13:32,PIECE00094
