,PhraseID,Note,StartTimestamp,EndTimestamp,PieceID
126,PHRASE000013,G4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
127,PHRASE000013,C5,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
128,PHRASE000013,G4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
129,PHRASE000013,B4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
130,PHRASE000013,A4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
131,PHRASE000013,A4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
132,PHRASE000013,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
133,PHRASE000014,A4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
134,PHRASE000014,G4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
135,PHRASE000014,G3,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
136,PHRASE000014,E4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
137,PHRASE000014,D4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00002
138,PHRASE000014,C4,21/05/23 12:13:43,21/05/23 12:13:53,PIECE00002
139,PHRASE000014,rest,21/05/23 12:13:53,21/05/23 12:13:53,PIECE00002
140,PHRASE000014,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00002
141,PHRASE000015,G3,21/05/23 12:13:23,21/05/23 12:13:33,PIECE00003
142,PHRASE000015,E4,21/05/23 12:13:33,21/05/23 12:13:43,PIECE00003
143,PHRASE000015,D4,21/05/23 12:13:43,21/05/23 12:13:43,PIECE00003
144,PHRASE000015,C4,21/05/23 12:13:43,21/05/23 12:13:53,PIECE00003
145,PHRASE000015,B3,21/05/23 12:13:53,21/05/23 12:14:03,PIECE00003
146,PHRASE000015,D4,21/05/23 12:14:03,21/05/23 12:14:13,PIECE00003
147,PHRASE000015,A3,21/05/23 12:14:13,21/05/23 12:14:23,PIECE00003
148,PHRASE000015,rest,21/05/23 12:14:23,21/05/23 12:14:33,PIECE00003
149,PHRASE000015,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00003
150,PHRASE000016,D4,21/05/23 12:14:33,21/05/23 12:14:43,PIECE00003
151,PHRASE000016,D4,21/05/23 12:14:43,21/05/23 12:14:53,PIECE00003
152,PHRASE000016,D4,21/05/23 12:14:53,21/05/23 12:14:53,PIECE00003
153,PHRASE000016,D4,21/05/23 12:14:53,21/05/23 12:14:53,PIECE00003
154,PHRASE000016,C4,21/05/23 12:14:53,21/05/23 12:14:53,PIECE00003
155,PHRASE000016,D4,21/05/23 12:14:53,21/05/23 12:15:03,PIECE00003
156,PHRASE000016,E4,21/05/23 12:15:03,21/05/23 12:15:23,PIECE00003
157,PHRASE000016,rest,21/05/23 12:15:23,21/05/23 12:15:33,PIECE00003
158,PHRASE000016,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00003
159,PHRASE000017,G3,21/05/23 12:15:33,21/05/23 12:15:43,PIECE00003
160,PHRASE000017,E4,21/05/23 12:15:43,21/05/23 12:15:53,PIECE00003
161,PHRASE000017,E4,21/05/23 12:15:53,21/05/23 12:15:53,PIECE00003
162,PHRASE000017,G4,21/05/23 12:15:53,21/05/23 12:16:03,PIECE00003
163,PHRASE000017,G4,21/05/23 12:16:03,21/05/23 12:16:03,PIECE00003
164,PHRASE000017,F4,21/05/23 12:16:03,21/05/23 12:16:13,PIECE00003
165,PHRASE000017,D4,21/05/23 12:16:13,21/05/23 12:16:23,PIECE00003
166,PHRASE000017,rest,21/05/23 12:16:23,21/05/23 12:16:33,PIECE00003
167,PHRASE000017,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00003
168,PHRASE000018,D4,21/05/23 12:16:33,21/05/23 12:16:43,PIECE00003
169,PHRASE000018,C4,21/05/23 12:16:43,21/05/23 12:16:53,PIECE00003
170,PHRASE000018,C4,21/05/23 12:16:53,21/05/23 12:16:53,PIECE00003
171,PHRASE000018,E4,21/05/23 12:16:53,21/05/23 12:17:03,PIECE00003
172,PHRASE000018,D4,21/05/23 12:17:03,21/05/23 12:17:13,PIECE00003
173,PHRASE000018,C4,21/05/23 12:17:13,21/05/23 12:17:33,PIECE00003
174,PHRASE000018,rest,21/05/23 12:17:33,21/05/23 12:17:43,PIECE00003
175,PHRASE000018,END,21/05/23 12:13:23,21/05/23 12:13:23,PIECE00003
